StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,Q145,match timer_First Click,match timer_Last Click,match timer_Page Submit,match timer_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q28,get timer_First Click,get timer_Last Click,get timer_Page Submit,get timer_Click Count,dem_ingroup1,dem_ingroup2,dem_ingroup3,rep_outgroup1,rep_outgroup2,rep_outgroup3,rep_ingroup1,rep_ingroup2,rep_ingroup3,dem_outgroup1,dem_outgroup2,dem_outgroup3,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,cond1_selection,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q84,Q141,Q142,Q143_1,Q144,cond2_timing_First Click,cond2_timing_Last Click,cond2_timing_Page Submit,cond2_timing_Click Count,fairness(new),Q31,guesstimate(new)_1,feedback (new),dem3_timing_First Click,dem3_timing_Last Click,dem3_timing_Page Submit,dem3_timing_Click Count,rep4_timing_First Click,rep4_timing_Last Click,rep4_timing_Page Submit,rep4_timing_Click Count,dem1_timing_First Click,dem1_timing_Last Click,dem1_timing_Page Submit,dem1_timing_Click Count,rep2_timing_First Click,rep2_timing_Last Click,rep2_timing_Page Submit,rep2_timing_Click Count,Q94,Q95,Q129,Q96,Q128,desktop,desktop_4_TEXT,Q131,age,gender,gender_5_TEXT,ethnicity,ethnicity_8_TEXT,pol_or,Q102,Q103,researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,aid,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions,FL_138_DO,FL_21_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,What is your Prolific ID?,Please check here to signify that you understand that that there will be periods of waiting in this survey.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are you an Overestimator, or Underestimator? 



Approximately how many dots were in the previous image?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I value being a member of the Democratic Party.,I am proud to be a member of the Democratic Party.,Being a member of the Democratic Party is an important part of my identity.,I value being a member of the Republican Party.,I am proud to be a member of the Republican Party.,Being a member of the Republican Party group is an important part of my identity.,I value being a member of the Republican Party.,I am proud to be a member of the Republican Party.,Being a member of the Republican Party group is an important part of my identity.,I value being a member of the Democratic Party.,I am proud to be a member of the Democratic Party.,Being a member of the Democratic Party is an important part of my identity.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mental Rotation Task 

 

Looking at the shape below, select the photo that depicts the same shape, rotated in space.","Logic Problem



Please read the following carefully, then select the answer you believe to be most correct. 

 

Laird: Pure research provides us with new technologies that contribute to saving lives. Even more worthwhile than this, however, is its role in expanding our knowledge and providing new, unexplored ideas.

Kim: Your priorities are mistaken. Saving lives is what counts most of all. Without pure research, medicine would not be as advanced as it is.

Laird and Kim disagree on whether pure research...","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - X","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - Y","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - Regions","Survey Question

 

Please answer the following question honestly. We are interested in how people score on a variety of personality measures. 

 

 

I am the life of the party.","There are lots of different types of questions that we may ask participants. Some types of questions look at personality, whereas others may test certain sets of skills. Others may test to ensure that participants read the entire question. Please select ""Somewhat Disagree"" from the selection below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you like to assign tasks?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which task would you like to assign to YOURSELF? 
(Remember, whichever task you do not choose will be assigned to another participant.)",Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did you act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - 1,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did the other participant act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - 1,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What did you think was the purpose of this experiment?,Did you believe that you were talking to real people in the chat phase?,Why Not?,Did you believe that the other participants were actually assigning tasks?,Why Not?,How did you complete this survey? This will not affect your payment. - Selected Choice,How did you complete this survey? This will not affect your payment. - Other - Text,Is there anything else you'd like us to know?,What is your age?,How do you currently describe your gender identity? - Selected Choice,How do you currently describe your gender identity? - Something not listed here - Text,What categories describe you? Please select all that apply. - Selected Choice,"What categories describe you? Please select all that apply. - Some other race, ethnicity or origin, please specify - Text","Overall, on the following scale of political orientation [from Very Liberal to Very Conservative], where would you place yourself?",Q102,"I feel that I have been adequately debriefed about the nature of the study. The investigator has explained the purposes of the research to me, and I feel that any questions I have asked were satisfactorily answered.",researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,aid,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions,FL_138 - Block Randomizer - Display Order,FL_21 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID153""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID225""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID95""}","{""ImportId"":""QID98"",""point"":1,""coord"":""x""}","{""ImportId"":""QID98"",""point"":1,""coord"":""y""}","{""ImportId"":""QID98_REGIONS""}","{""ImportId"":""QID99""}","{""ImportId"":""QID145""}","{""ImportId"":""QID155_FIRST_CLICK""}","{""ImportId"":""QID155_LAST_CLICK""}","{""ImportId"":""QID155_PAGE_SUBMIT""}","{""ImportId"":""QID155_CLICK_COUNT""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID185_FIRST_CLICK""}","{""ImportId"":""QID185_LAST_CLICK""}","{""ImportId"":""QID185_PAGE_SUBMIT""}","{""ImportId"":""QID185_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID167_FIRST_CLICK""}","{""ImportId"":""QID167_LAST_CLICK""}","{""ImportId"":""QID167_PAGE_SUBMIT""}","{""ImportId"":""QID167_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID172_FIRST_CLICK""}","{""ImportId"":""QID172_LAST_CLICK""}","{""ImportId"":""QID172_PAGE_SUBMIT""}","{""ImportId"":""QID172_CLICK_COUNT""}","{""ImportId"":""QID177_FIRST_CLICK""}","{""ImportId"":""QID177_LAST_CLICK""}","{""ImportId"":""QID177_PAGE_SUBMIT""}","{""ImportId"":""QID177_CLICK_COUNT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID161_4_TEXT""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID151_5_TEXT""}","{""ImportId"":""QID152""}","{""ImportId"":""QID152_8_TEXT""}","{""ImportId"":""QID149""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""researcherID""}","{""ImportId"":""studyID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""groupID""}","{""ImportId"":""participantID""}","{""ImportId"":""groupSize""}","{""ImportId"":""numStages""}","{""ImportId"":""roles""}","{""ImportId"":""participantRole""}","{""ImportId"":""timeOutLog""}","{""ImportId"":""maxWaitTime""}","{""ImportId"":""id""}","{""ImportId"":""aid""}","{""ImportId"":""botMatch""}","{""ImportId"":""matchAlert""}","{""ImportId"":""participantStatus""}","{""ImportId"":""sendData""}","{""ImportId"":""sendStage""}","{""ImportId"":""getStage""}","{""ImportId"":""getData""}","{""ImportId"":""saveData""}","{""ImportId"":""getWaitText""}","{""ImportId"":""freezeTime""}","{""ImportId"":""chatLog""}","{""ImportId"":""chatDuration""}","{""ImportId"":""chatName""}","{""ImportId"":""chatWindowWidth""}","{""ImportId"":""chatWindowHeight""}","{""ImportId"":""chatInstructions""}","{""ImportId"":""FL_138_DO""}","{""ImportId"":""FL_21_DO""}"
2023-09-11 21:31:50,2023-09-11 21:45:27,0,47.230.202.138,100,816,1,2023-09-11 21:45:28,R_cO7JaiKOMWlbw9r,,,,,40.7157,-74,anonymous,EN,1,madison_test4,1,0,0,24.02,0,0,0,3.117,0,122,0,0,43.411,0,4,4,4,4,4,4,,,,,,,21.3,21.3,22.149,1,1,4,365,224,Region #1,16,3,6.702,6.702,7.124,1,0,0,10.916,0,0,0,25.107,0,,,,,,,,,,,,,,,1,5,6,,,,,,,,,,0,0,45.007,0,,,,,,,,,,,,,,,,,,,1,1,6392NwKkvp,MoHi_Study2,,1,R_cO7JaiKOMWlbw9r,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player2-Republican has joined the chat ***
<br>Player2-Republican: test
<br> *** Player4-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player4-Republican: test
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: test
<br>Player3-Democrat: test
<br> *** Player2-Republican has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br>",,chatLog,,,,UNDERESTIMATOR,FL_55
2023-09-12 15:59:13,2023-09-12 16:06:40,0,70.120.229.35,100,447,1,2023-09-12 16:06:41,R_3exI30dbeYVNDJF,,,,,31.7775,-106.4903,anonymous,EN,1,5cfec17adc24bc00016efa53,1,17.141,17.141,30.243,1,0,0,3.022,0,80,0,0,13.407,0,2,2,2,2,2,2,,,,,,,0,0,22.048,0,4,4,597,211,Region #2,14,3,0,0,8.113,0,0,0,11.53,0,0,0,25.117,0,,,,,,,,,,,,,,,2,4,8,,,,,,,,,,,,,,0,0,45.012,0,political bias,1,,2,just a guess,1,,,29,1,,7,,2,1,1,6392NwKkvp,MoHi_Study2,,3,R_3exI30dbeYVNDJF,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>",,chatLog,,,,OVERESTIMATOR,FL_56
2023-09-12 15:59:07,2023-09-12 16:06:44,0,66.41.93.126,100,456,1,2023-09-12 16:06:45,R_3QLwAsaKhFgxMxz,,,,,45.0702,-93.4556,anonymous,EN,1,570b7b5fb9b52b00102d96f9,1,0,0,27.967,0,0,0,3.028,0,64,0,0,36.441,0,4,4,3,2,1,1,,,,,,,0,0,21.234,0,1,4,172,74,Region #1,14,3,0,0,28.152,0,0,0,11.034,0,23.988,23.988,25.024,1,1,4.19,4.19,17.099,1,1,1,3,9,No other feedback,,,,,,,,,,,,,,,,,,,,,,,,,Seeing how people assign tasks between people and if they choose to be fair or not.,1,,4,,1,,No other comments,28,2,,7,,1,1,1,6392NwKkvp,MoHi_Study2,,2,R_3QLwAsaKhFgxMxz,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br>",,chatLog,,,,OVERESTIMATOR,FL_32
2023-09-12 15:59:07,2023-09-12 16:07:43,0,75.137.188.174,100,515,1,2023-09-12 16:07:44,R_2QKbCIre1EFUQOT,,,,,33.3708,-84.8154,anonymous,EN,1,5d57f9cdedef630016280505,1,0,0,6.895,0,0,0,3.021,0,90,25.596,25.596,25.953,1,,,,,,,5,5,4,1,1,1,0,0,22.561,0,1,1,138,213,Region #1,16,3,0,0,8.518,0,0,0,18.595,0,0,0,25.012,0,1,1.557,1.557,15.918,1,1,2,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,I'm not sure,2,Researchers lie a lot,2,Because I was the one that was selected to do the assigning,1,,No,41,1,,7,,5,1,1,6392NwKkvp,MoHi_Study2,,2,R_2QKbCIre1EFUQOT,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br>",,chatLog,,,,UNDERESTIMATOR,FL_32
2023-09-12 16:00:48,2023-09-12 16:07:55,0,184.58.80.18,100,426,1,2023-09-12 16:07:56,R_1er92hGVkcXsB0h,,,,,37.1511,-83.7793,anonymous,EN,1,649d809191fa2e4b6e84c69e,1,0,0,8.204,0,0,0,3.007,0,103,0,0,22.709,0,6,5,5,2,1,1,,,,,,,0,0,21.28,0,1,4,792,353,Region #2,14,3,0,0,7.737,0,9.547,11.758,12.049,2,0,0,25.117,0,,,,,,,,,,,,,,,1,3,10,None,,,,,0,0,45.006,0,,,,,,,,,I do not know,1,,1,,1,,No,19,2,,7,,2,1,1,6392NwKkvp,MoHi_Study2,,6,R_1er92hGVkcXsB0h,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hello
<br>Player2-Republican: Hello everyone
<br>Player3-Democrat: Hi Everyone 
<br>Player4-Republican: Well I found out I'm an overestimator.
<br>Player2-Republican: I was labeled over esimater
<br>Player1-Democrat: Same I am as well
<br>Player3-Democrat: The task was simple and straight to the point, I felt it was hard to because of how quickly it flashed 
<br>Player2-Republican: I always hought of myself as an under estimater
<br>Player1-Democrat: I agree
<br>Player4-Republican: There was a lot to take in.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",,chatLog,,,,OVERESTIMATOR,FL_56
2023-09-12 15:59:26,2023-09-12 16:08:54,0,67.175.148.179,100,567,1,2023-09-12 16:08:55,R_2xzrNfP41DnCSu4,,,,,41.6227,-86.2452,anonymous,EN,1,5dd329e3270f4433de53299a,1,0,0,7.206,0,0,0,3.008,0,75,0,0,7.81,0,7,7,7,1,1,1,,,,,,,0,0,21.579,0,1,4,142,355,Region #1,17,3,0,0,15.739,0,0,0,17.491,0,0,0,25.008,0,,,,,,,,,,,,,,,1,4,7,no,0,0,45.108,0,,,,,,,,,,,,,I don't know,1,,1,,1,,,27,2,,7,,1,1,1,6392NwKkvp,MoHi_Study2,,3,R_2xzrNfP41DnCSu4,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>",,chatLog,,,,OVERESTIMATOR,FL_55
2023-09-12 16:02:20,2023-09-12 16:09:24,0,72.22.186.206,100,423,1,2023-09-12 16:09:25,R_2vkVRmzEak3CxKo,,,,,40.7434,-73.0761,anonymous,EN,1,5a4ffbc076d1c60001aa9438,1,0,0,33.43,0,0,0,3.118,0,45,0,0,36.647,0,7,7,7,1,1,1,,,,,,,0,0,21.075,0,1,4,549,331,Region #2,15,3,0,0,6.812,0,0,0,11.187,0,0,0,25.014,0,,,,,,,,,,,0,0,45.109,0,1,5,10,,,,,,,,,,,,,,,,,,I am not sure.,1,,1,,1,,,28,2,,7,,1,1,1,6392NwKkvp,MoHi_Study2,,12,R_2vkVRmzEak3CxKo,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: Hi everyone 
<br>Player4-Republican: Hello! 
<br>Player1-Democrat: Hi
<br>Player2-Republican: It was tricky.
<br>Player2-Republican: Hello
<br>Player3-Democrat: Yea it was difficult
<br>Player2-Republican: There were large and small dots.
<br>Player1-Democrat: i guessed too low
<br>Player4-Republican: It was, I was an underestimater... 
<br>Player2-Republican: I guessed too high
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,,UNDERESTIMATOR,FL_34
2023-09-12 15:59:10,2023-09-12 16:09:36,0,174.197.33.74,100,626,1,2023-09-12 16:09:37,R_27DtpP1aeGIw8de,,,,,29.4436,-98.4815,anonymous,EN,1,64013d507ab5a4cdc0c1a29a,1,0,0,7.952,0,0,0,3.111,0,150,0,0,10.321,0,,,,,,,7,7,7,1,1,1,9.803,15.699,21.846,2,1,1,869,49,Region #2,16,3,0,0,10.75,0,7.582,14.905,16.449,3,0,0,25.115,0,,,,,,,,,,,0,0,45.114,0,2,4,10,"No i think it sounds like a fair thing to do. ",,,,,,,,,,,,,,,,,I think it was about different views as far is political party and if one would be treated unfairly based on their preference.,1,,1,,1,,Fun survey,31,1,,4,,5,1,1,6392NwKkvp,MoHi_Study2,,3,R_27DtpP1aeGIw8de,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,,UNDERESTIMATOR,FL_34
