StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q138,Q139,Q140,Q141,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q28,match timer_First Click,match timer_Last Click,match timer_Page Submit,match timer_Click Count,get timer_First Click,get timer_Last Click,get timer_Page Submit,get timer_Click Count,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q20,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q84,Q141,Q142,Q143_1,Q144,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,fairness(new),Q31,guesstimate(new)_1,feedback (new),Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q77_First Click,Q77_Last Click,Q77_Page Submit,Q77_Click Count,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q94,Q95,Q129,Q96,Q128,Q131,Q102,Q103,researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,timeOutLog,maxWaitTime,botMatch,matchAlert,id,participantRole,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q9,"Before we match you with other participants, please answer the following question: 

Politically, do you identify as a member of the Democratic Party or the Republican Party?",I value being a member of the [QID146-ChoiceGroup-SelectedChoices].,I am proud to be a member of the [QID146-ChoiceGroup-SelectedChoices].,Belonging to the [QID146-ChoiceGroup-SelectedChoices] is an important part of my identity.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Approximately how many dots were in the previous image?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mental Rotation Task 

 

Looking at the shape below, select the photo that depicts the same shape, rotated in space.","Logic Problem



Please read the following carefully, then select the answer you believe to be most correct. 

 

Laird: Pure research provides us with new technologies that contribute to saving lives. Even more worthwhile than this, however, is its role in expanding our knowledge and providing new, unexplored ideas.

Kim: Your priorities are mistaken. Saving lives is what counts most of all. Without pure research, medicine would not be as advanced as it is.

Laird and Kim disagree on whether pure research...","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - X","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - Y","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - Regions","Survey Question

 

Please answer the following question honestly. We are interested in how people score on a variety of personality measures. 

 

 

I am the life of the party.","There are lots of different types of questions that we may ask participants. Some types of questions look at personality, whereas others may test certain sets of skills. Others may test to ensure that participants read the entire question. Please select ""Somewhat Disagree"" from the selection below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you like to assign tasks?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which task would you like to assign to YOURSELF? 
(Remember, whichever task you do not choose will be assigned to another participant.)",Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did you act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - Green Task,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did the other participant act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - Green Task,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What did you think was the purpose of this experiment?,Did you believe that you were talking to real people in the chat phase?,Why Not?,Did you believe that you were watching a real person's task selection via screen recording?,Why Not?,Is there anything else you'd like us to know?,Q102,"I feel that I have been adequately debriefed about the nature of the study. The investigator has explained the purposes of the research to me, and I feel that any questions I have asked were satisfactorily answered.",researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,timeOutLog,maxWaitTime,botMatch,matchAlert,id,participantRole,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID95""}","{""ImportId"":""QID98"",""point"":1,""coord"":""x""}","{""ImportId"":""QID98"",""point"":1,""coord"":""y""}","{""ImportId"":""QID98_REGIONS""}","{""ImportId"":""QID99""}","{""ImportId"":""QID145""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID83_FIRST_CLICK""}","{""ImportId"":""QID83_LAST_CLICK""}","{""ImportId"":""QID83_PAGE_SUBMIT""}","{""ImportId"":""QID83_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""researcherID""}","{""ImportId"":""studyID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""groupID""}","{""ImportId"":""participantID""}","{""ImportId"":""groupSize""}","{""ImportId"":""numStages""}","{""ImportId"":""roles""}","{""ImportId"":""timeOutLog""}","{""ImportId"":""maxWaitTime""}","{""ImportId"":""botMatch""}","{""ImportId"":""matchAlert""}","{""ImportId"":""id""}","{""ImportId"":""participantRole""}","{""ImportId"":""participantStatus""}","{""ImportId"":""sendData""}","{""ImportId"":""sendStage""}","{""ImportId"":""getStage""}","{""ImportId"":""getData""}","{""ImportId"":""saveData""}","{""ImportId"":""getWaitText""}","{""ImportId"":""freezeTime""}","{""ImportId"":""chatLog""}","{""ImportId"":""chatDuration""}","{""ImportId"":""chatName""}","{""ImportId"":""chatWindowWidth""}","{""ImportId"":""chatWindowHeight""}","{""ImportId"":""chatInstructions""}"
2022-06-06 11:06:19,2022-06-06 11:06:19,2,,100,0,1,2022-06-06 11:06:19,R_0PoUCEKpKNdYssu,,,,,40.7359,-73.9904,test,,2,3,8,8,8,4.26,7.89,5.71,17,Dictumst viverra lorem suspendisse placerat luctus primis luctus eros leo? Cras vestibulum. Facilisis dui rhoncus.,7.71,8.34,8.77,25,0.42,2.64,8.48,19,6.81,8.77,7.73,40,1,4,856,367,Region #2,15,8,9.57,9.69,9.85,42,1.28,3.02,7.4,15,,,,,,,,,,,3.05,5.14,9.37,5,3,2,1,"Suscipit dolorem laoreet at ipsum aliquam nullam, dui auctor risus orci quis felis. Etiam porttitor.",,,,,,,,,,,,,,,,,"Dictumst a viverra praesent fusce! Porta primis phasellus, porttitor? Magnis? Per montes.",2,"Platea, iaculis suscipit rhoncus tortor platea ultrices magna auctor justo natoque.",2,Vestibulum egestas rhoncus ante pretium ullamcorper egestas pellentesque? Duis potenti.,Nibh euismod eget tortor ac vel elit quam aliquam luctus arcu.,2,1,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
2022-06-06 11:06:19,2022-06-06 11:06:19,2,,100,0,1,2022-06-06 11:06:19,R_3jTObltoLsXZfN4,,,,,40.7359,-73.9904,test,,2,2,8,7,8,2.5,4.79,8.77,46,"Viverra dignissim quis justo urna ultrices aliquet, dignissim ligula. Bibendum id posuere.",6.01,9.81,6.72,20,8.96,9.88,9.13,26,3.03,6.9,9.59,39,4,4,878,74,Region #2,14,1,2.23,5.93,6.48,21,8.66,9.66,9.38,33,1,8.81,9.99,9.83,13,1,2,2,6,"Euismod elementum nonummy gravida vehicula culpa sagittis, natoque per. Pede magna ultricies. Gravida tempor.",,,,,,,,,,,,,,,,,,,,,,,,,Eleifend atque proin. Vestibulum vitae donec dolorem primis arcu! Vulputate duis rhoncus vehicula.,2,"Primis nec non augue! At. Per. Primis vulputate odio orci sapien vehicula, blandit sapien. Elit.",2,Mattis felis a cras felis nullam nulla. Sollicitudin. Fusce rutrum sodales cras sollicitudin.,"Aenean, vel ab purus integer elit facilisi eros tempora cursus orci urna.",2,2,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,Player4-Republican,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
2022-06-06 11:06:19,2022-06-06 11:06:19,2,,100,0,1,2022-06-06 11:06:19,R_41mkAQIDOovjdDE,,,,,40.7359,-73.9904,test,,2,3,7,7,8,6.33,8.1,7.24,35,Tempus quis lectus urna rutrum lacus eget lectus! Et pede.,2.49,8.94,6.12,48,7.84,9.2,9.9,46,1.08,6.6,5.73,43,1,4,487,228,Region #2,15,7,4.18,6.63,9.92,48,8.97,9.92,9,44,,,,,,,,,,,,,,,2,7,9,Laoreet temporibus porttitor ipsum phasellus nonummy imperdiet platea dictumst. Magnis gravida sem.,,,,,,,,,,,,,,,,,Sem dignissim interdum! Elit. Volutpat culpa wisi dictumst metus tempus tempor neque.,2,Augue ligula tempora tempora ultricies blandit pretium magnis malesuada sed vulputate venenatis eros eros consectetuer.,1,,"Placerat potenti culpa dolor. Laoreet. Integer. Ac? Curabitur euismod rhoncus suscipit, facilisis vehicula! Est.",2,2,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
2022-06-06 11:06:19,2022-06-06 11:06:19,2,,100,0,1,2022-06-06 11:06:19,R_6PZ9Z1CmV9f8jkO,,,,,40.7359,-73.9904,test,,2,1,5,5,6,3.42,7.49,3.42,12,"Tincidunt, erat phasellus consectetuer per felis pharetra quam eget facilisi sapien magnis suspendisse.",0.71,7.86,2.18,33,9.12,9.67,9.7,38,8.3,9.04,8.42,40,1,1,854,59,Region #2,18,5,4.94,8.72,7.2,42,4.13,6.69,6,22,,,,,,,,,,,,,,,3,5,7,Laoreet. Neque phasellus. Molestie facilisis etiam. Accumsan natoque venenatis iaculis.,,,,,,,,,7.16,7.56,9.41,24,,,,,"Culpa luctus. Vulputate, magnis ligula integer proin rhoncus eleifend ultrices tortor ligula.",2,Augue potenti facilisis primis tellus elementum malesuada primis porttitor lorem cras leo.,1,,Porttitor vitae fusce. Lacus auctor odio turpis nulla. At facilisi nibh bibendum.,1,2,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,Player3-Democrat,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
2022-06-06 11:06:20,2022-06-06 11:06:20,2,,100,0,1,2022-06-06 11:06:20,R_etyaOk8ZXe3mGHk,,,,,40.7359,-73.9904,test,,2,3,6,4,6,2.78,5.02,2.95,50,Bibendum enim consequat. Primis nonummy venenatis fermentum felis lacus sollicitudin purus.,4.34,4.97,6.66,50,7.6,8,9.61,19,5.8,8.82,6.54,30,5,1,282,169,Region #1,18,8,9.48,9.52,9.48,19,4.07,5.9,8.17,11,,,,,,,,,,,,,,,3,5,6,"Sit. Ac ullamcorper accumsan aliquet morbi purus blandit, urna elit etiam.",,,,,,,,,,,,,,,,,Metus mattis enim elit malesuada. Purus ultricies a? Dui elit dolor natoque orci tempus.,1,,2,Rhoncus? Eros tortor dolor phasellus neque eu. Eu faucibus wisi vehicula vulputate.,Nulla egestas platea velit platea ultricies morbi augue? Curabitur proin? Mi.,1,2,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
2022-06-06 11:06:20,2022-06-06 11:06:20,2,,100,0,1,2022-06-06 11:06:20,R_dokFshcAnOZIBvw,,,,,40.7359,-73.9904,test,,2,3,5,6,4,5.63,8.73,6.56,42,Metus molestie. Fringilla imperdiet vulputate tempora facilisi sapien sem tempora sapien rhoncus.,0.29,6.51,8.31,30,5.03,6.84,5.16,24,6.09,9.84,7.08,3,4,3,106,108,Region #1,17,6,1.57,4.95,5.13,15,1.77,9.38,3.4,18,,,,,,,,,,,8,9.64,9.9,43,2,4,5,Porta nulla ultricies mauris non. Auctor eros morbi tempor. Imperdiet augue.,,,,,,,,,,,,,,,,,Per laoreet. Lectus porta laoreet sem sagittis tortor! Nec ac.,1,,1,,Felis potenti elementum tortor ridiculus tellus? Magnis primis augue vivamus? Suspendisse fringilla.,2,2,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
2022-06-06 11:06:20,2022-06-06 11:06:20,2,,100,0,1,2022-06-06 11:06:20,R_42ecD5y39ge0lG6,,,,,40.7359,-73.9904,test,,1,2,6,4,8,9.43,9.6,9.76,25,Eget accumsan aliquam diam enim euismod ut consectetuer id. Lacus ultricies velit ac viverra.,0.98,2.9,5.6,27,2.83,9.19,4.45,5,1.34,5.75,6.75,40,2,1,457,249,Region #1,17,5,2.4,5.06,5.74,45,9.93,9.99,9.96,34,,,,,,,,,,,,,,,2,2,0,Atque venenatis eu curabitur! Donec purus. Eros justo! A lacus. Justo.,,,,,8.4,9.87,9.92,15,,,,,,,,,Ipsum! Aliquet eleifend nibh! Massa amet nibh. Id leo curabitur? Suspendisse ultrices.,2,Aliquam! Odio potenti! Tortor mauris consequat ante suscipit lectus ut vulputate consequat nec.,2,Turpis dolor blandit enim mattis tempor commodo risus justo lectus odio.,Nunc fermentum amet lacus ac commodo dolorem vivamus nunc? Est eget accumsan dolorem.,2,1,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,Player2-Republican,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
2022-06-06 11:06:20,2022-06-06 11:06:20,2,,100,0,1,2022-06-06 11:06:20,R_0i8Yvhg7WEO0QC2,,,,,40.7359,-73.9904,test,,1,2,4,5,7,5.47,9.76,9.7,42,Ab ultricies quis odio eu ullamcorper. Vestibulum dolor ut accumsan elementum.,3.68,7.24,6.99,31,1.09,2.07,8.23,22,6.19,8.36,9.66,43,2,4,94,375,Region #1,16,6,8.09,8.16,10,18,6.6,8.22,8,10,1,4.63,6.97,4.65,17,1,3,5,0,"Integer porttitor accumsan, dolorem lacus nec laoreet tempor, nec primis.",,,,,,,,,,,,,,,,,,,,,,,,,Lacus etiam sagittis morbi rhoncus egestas. Nunc a vestibulum erat euismod.,1,,1,,"Sagittis. Dolorem. Aliquet, ante phasellus nec quam, ante, sollicitudin purus imperdiet placerat commodo.",2,2,6392NwKkvp,Study2_MoHi1,,,,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",,600,no,yes,,Player4-Republican,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1,text,150,chatLog,900,400,Please take the next few minutes to chat with other participants about the dot task.
